id,region_id,event_date,severity,affected_population,damage_estimate_aoa,description,data_source,created_at
21,5,2019-03-13T08:05:05.940935,minor,6327,3127936,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940981
22,16,2017-11-19T08:05:05.941009,minor,3013,256837,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941055
23,5,2015-12-17T08:05:05.941083,catastrophic,5389,4563593,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941130
24,15,2023-10-02T08:05:05.941157,severe,7468,9645322,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941204
25,17,2023-01-29T08:05:05.941231,minor,5978,4511045,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941278
26,11,2019-03-21T08:05:05.941305,minor,8871,9722286,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941352
27,1,2017-11-27T08:05:05.941379,moderate,4032,1225664,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941427
28,9,2018-10-23T08:05:05.941455,catastrophic,6495,7331445,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941501
29,13,2021-03-10T08:05:05.941528,catastrophic,5631,3059532,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941575
30,11,2019-08-10T08:05:05.941602,minor,475,3220847,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941649
31,10,2025-09-25T08:05:05.941676,severe,3039,4574445,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941726
32,19,2023-07-11T08:05:05.941754,minor,9588,7086658,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941801
33,1,2023-11-15T08:05:05.941828,catastrophic,9447,123382,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941875
34,16,2019-04-14T08:05:05.941903,catastrophic,6864,5040560,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.941950
35,8,2024-09-04T08:05:05.941990,catastrophic,9373,2030719,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942030
36,5,2020-03-12T08:05:05.942053,severe,4655,9780956,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942093
37,17,2017-01-08T08:05:05.942116,severe,3753,3244720,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942155
38,16,2024-05-27T08:05:05.942178,minor,7799,6292072,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942217
39,5,2019-09-19T08:05:05.942240,moderate,8155,5477168,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942280
40,19,2017-06-09T08:05:05.942304,minor,4464,1259149,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942343
41,6,2018-03-30T08:05:05.942366,moderate,5060,4313085,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942406
42,14,2016-01-12T08:05:05.942430,severe,8941,7955506,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942470
43,19,2021-08-28T08:05:05.942493,severe,7335,3918067,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942533
44,19,2017-03-28T08:05:05.942556,severe,156,7835491,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942596
45,6,2017-03-08T08:05:05.942619,severe,8403,2566993,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942658
46,20,2025-09-10T08:05:05.942681,moderate,857,7651506,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942721
47,9,2016-06-26T08:05:05.942744,catastrophic,7373,3572108,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942784
48,18,2016-01-31T08:05:05.942807,moderate,1204,5868076,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942847
49,12,2024-05-02T08:05:05.942870,minor,7169,312628,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942910
50,18,2021-01-10T08:05:05.942933,catastrophic,271,6743509,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.942979
51,4,2022-11-21T08:05:05.943004,moderate,1261,1185110,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943045
52,11,2023-09-13T08:05:05.943068,moderate,8753,4723527,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943108
53,15,2025-07-17T08:05:05.943131,minor,8131,7801349,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943171
54,14,2024-02-15T08:05:05.943195,severe,9098,4840148,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943235
55,16,2020-02-11T08:05:05.943258,catastrophic,4009,4918060,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943298
56,12,2017-05-14T08:05:05.943321,minor,8738,2713456,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943361
57,5,2021-10-16T08:05:05.943383,moderate,3542,708919,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943423
58,7,2019-05-13T08:05:05.943447,catastrophic,1391,6827830,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943488
59,15,2022-04-06T08:05:05.943512,minor,9692,8829430,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943552
60,6,2018-06-29T08:05:05.943575,minor,6613,7185282,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943616
61,1,2016-07-10T08:05:05.943655,moderate,9296,6599716,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943800
62,13,2025-06-10T08:05:05.943843,minor,543,3158321,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.943939
63,10,2018-05-04T08:05:05.943994,catastrophic,8914,4447864,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944080
64,20,2021-01-16T08:05:05.944116,minor,2019,686901,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944174
65,4,2022-07-08T08:05:05.944198,catastrophic,681,8012798,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944238
66,3,2022-07-03T08:05:05.944263,moderate,9978,9683105,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944303
67,17,2019-02-27T08:05:05.944327,minor,5545,3919128,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944369
68,13,2017-11-21T08:05:05.944393,severe,5312,8623019,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944434
69,7,2017-07-29T08:05:05.944457,severe,4819,7278560,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944497
70,16,2017-10-24T08:05:05.944520,moderate,4495,7043122,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944560
71,8,2016-07-10T08:05:05.944584,moderate,4448,5229584,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944624
72,7,2020-05-20T08:05:05.944647,catastrophic,4400,1938346,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944687
73,10,2021-12-14T08:05:05.944710,severe,859,7011542,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944750
74,20,2018-03-08T08:05:05.944773,minor,8721,9888041,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944813
75,14,2019-01-11T08:05:05.944836,minor,5373,1514447,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944877
76,18,2021-12-22T08:05:05.944900,catastrophic,2349,9540105,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.944940
77,5,2019-02-22T08:05:05.944963,minor,9190,8267399,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945003
78,9,2022-05-02T08:05:05.945028,minor,9061,5302753,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945068
79,7,2020-07-19T08:05:05.945091,moderate,4749,8298931,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945133
80,1,2022-10-10T08:05:05.945157,minor,9952,8040312,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945197
81,17,2022-08-15T08:05:05.945220,minor,9477,5304369,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945260
82,14,2025-01-04T08:05:05.945283,moderate,7307,1045424,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945323
83,3,2025-07-05T08:05:05.945347,moderate,7732,1471242,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945386
84,8,2019-12-24T08:05:05.945409,minor,5016,1260675,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945449
85,7,2020-03-16T08:05:05.945472,minor,3195,2826427,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945512
86,11,2022-03-19T08:05:05.945535,minor,8294,6073721,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945575
87,15,2024-12-03T08:05:05.945598,catastrophic,4331,3350060,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945638
88,16,2018-09-30T08:05:05.945661,minor,9730,2951957,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945701
89,17,2023-02-27T08:05:05.945725,moderate,4822,1489068,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945765
90,5,2020-08-24T08:05:05.945788,minor,6755,7134926,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945828
91,4,2023-09-27T08:05:05.945851,severe,7959,5231547,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945891
92,6,2025-01-31T08:05:05.945914,catastrophic,6679,3101519,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.945954
93,3,2023-11-20T08:05:05.945978,minor,2498,8013614,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.946017
94,7,2017-12-15T08:05:05.946042,moderate,3795,2214253,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.946082
95,3,2016-05-05T08:05:05.946105,minor,8661,6968546,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.946145
96,19,2018-02-18T08:05:05.946168,catastrophic,1049,870569,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.946208
97,9,2020-06-01T08:05:05.946231,minor,454,192447,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.946271
98,11,2021-04-02T08:05:05.946294,moderate,7094,3834341,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.946333
99,8,2023-03-01T08:05:05.946357,minor,8719,6377609,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.946397
100,3,2019-08-15T08:05:05.946420,minor,5019,4461909,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.946459
