id,region_id,timestamp,temperature_celsius,humidity_percent,precipitation_mm,atmospheric_pressure_mb,wind_speed_kmh,source,created_at
25,5,2025-02-10T08:05:05.859866,27.2,68.37,11.79,1014.4,1.97,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859896
26,8,2025-08-04T08:05:05.859928,22.05,82.74,0.63,1017.76,8.67,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859957
27,4,2025-04-02T08:05:05.859988,21.85,83.15,0.98,1016.74,5.17,Synthetic Data - Grupo 7,2025-11-04T08:05:05.860050
28,16,2025-09-30T08:05:05.860081,31.39,61.13,2.08,1020.76,2.32,Synthetic Data - Grupo 7,2025-11-04T08:05:05.860109
29,9,2025-01-23T08:05:05.860140,25.06,83.96,8.76,1016.41,2.59,Synthetic Data - Grupo 7,2025-11-04T08:05:05.860168
30,12,2025-03-17T08:05:05.860199,22.94,84.76,15.71,1012.0,11.77,Synthetic Data - Grupo 7,2025-11-04T08:05:05.860227
31,16,2025-08-28T08:05:05.860261,19.97,51.79,5.58,1016.85,5.37,Synthetic Data - Grupo 7,2025-11-04T08:05:05.860289
32,13,2025-05-08T08:05:05.860320,21.5,69.87,3.99,1017.88,2.97,Synthetic Data - Grupo 7,2025-11-04T08:05:05.860380
33,18,2025-03-11T08:05:05.860461,27.06,61.54,4.81,1010.83,3.89,Synthetic Data - Grupo 7,2025-11-04T08:05:05.860534
34,2,2025-10-31T08:05:05.860606,17.09,71.19,4.35,1014.45,2.87,Synthetic Data - Grupo 7,2025-11-04T08:05:05.860661
35,4,2025-08-27T08:05:05.860719,24.18,97.91,2.37,1007.9,5.98,Synthetic Data - Grupo 7,2025-11-04T08:05:05.860772
36,3,2025-05-16T08:05:05.860837,24.91,65.67,0.29,1019.36,5.75,Synthetic Data - Grupo 7,2025-11-04T08:05:05.860893
37,17,2024-12-28T08:05:05.860956,12.18,87.14,8.1,1013.23,4.44,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861013
38,16,2025-04-06T08:05:05.861082,27.37,70.82,3.7,1020.26,6.47,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861165
39,3,2025-06-14T08:05:05.861261,26.83,73.14,15.93,1012.28,2.01,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861301
40,8,2025-07-06T08:05:05.861342,24.21,49.67,2.18,1009.2,3.74,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861375
41,17,2025-04-18T08:05:05.861526,29.75,61.35,5.77,1016.71,8.78,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861562
42,18,2025-02-27T08:05:05.861598,30.9,62.96,21.82,1014.48,1.23,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861628
43,17,2025-07-30T08:05:05.861668,26.71,98.67,6.93,1013.83,5.88,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861698
44,10,2025-08-14T08:05:05.861734,23.43,46.01,0.69,1013.6,4.85,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861764
45,17,2025-01-21T08:05:05.861795,24.99,63.61,3.23,1010.41,6.21,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861840
46,12,2025-03-28T08:05:05.861875,27.07,90.13,3.27,1019.98,2.42,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861905
47,11,2025-07-25T08:05:05.861936,30.29,43.62,2.49,1017.43,2.99,Synthetic Data - Grupo 7,2025-11-04T08:05:05.861965
48,6,2024-12-05T08:05:05.861996,33.14,49.3,9.92,1012.93,5.84,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862026
49,5,2025-10-02T08:05:05.862057,17.38,88.09,1.17,1003.9,6.3,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862086
50,16,2025-08-02T08:05:05.862121,33.06,57.81,0.99,1009.24,9.79,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862150
51,18,2025-09-05T08:05:05.862181,22.35,58.11,0.97,1005.83,2.86,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862210
52,14,2025-04-01T08:05:05.862240,24.49,70.63,8.03,1009.5,3.92,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862269
53,16,2025-09-05T08:05:05.862300,25.91,58.37,21.44,1017.0,3.51,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862330
54,14,2025-04-03T08:05:05.862362,23.74,71.91,0.8,1015.0,1.69,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862391
55,11,2025-03-11T08:05:05.862422,19.15,45.11,0.55,1009.14,5.05,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862451
56,17,2025-03-19T08:05:05.862482,25.38,56.87,1.33,1011.25,0.31,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862510
57,9,2025-07-19T08:05:05.862541,37.87,60.64,6.67,1023.42,8.37,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862569
58,10,2025-07-27T08:05:05.862601,31.98,50.36,4.23,1006.01,5.01,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862631
59,6,2025-08-27T08:05:05.862662,21.75,62.69,1.03,1008.86,2.11,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862691
60,3,2025-03-07T08:05:05.862721,28.99,72.18,0.03,1012.96,4.64,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862750
61,2,2024-12-05T08:05:05.862780,16.27,100.0,9.12,1008.45,5.27,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862810
62,12,2025-09-19T08:05:05.862840,29.94,81.46,0.46,1016.82,3.36,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862871
63,3,2025-05-28T08:05:05.862903,21.26,37.92,3.98,1006.0,3.96,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862932
64,20,2024-12-19T08:05:05.862963,24.64,54.64,4.66,1011.93,3.76,Synthetic Data - Grupo 7,2025-11-04T08:05:05.862991
65,12,2024-12-06T08:05:05.863022,22.46,51.37,13.05,1015.9,4.79,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863051
66,3,2025-04-06T08:05:05.863113,22.13,59.79,5.02,1011.63,5.16,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863141
67,18,2025-01-13T08:05:05.863172,33.86,64.02,11.5,1016.54,12.91,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863201
68,1,2025-06-05T08:05:05.863234,18.95,45.8,3.79,1001.55,8.57,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863263
69,19,2025-09-24T08:05:05.863294,26.69,63.77,4.84,1017.83,3.55,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863322
70,6,2025-07-31T08:05:05.863356,29.85,80.81,0.77,1016.29,1.49,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863385
71,10,2024-11-17T08:05:05.863415,25.44,55.79,2.38,1024.29,1.46,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863444
72,8,2025-02-17T08:05:05.863474,12.14,64.22,7.39,1013.14,3.0,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863503
73,11,2025-01-26T08:05:05.863533,19.71,62.31,11.95,1004.11,8.88,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863562
74,14,2024-11-07T08:05:05.863592,26.4,53.12,3.52,1011.99,3.46,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863621
75,12,2024-11-14T08:05:05.863652,21.99,89.53,0.36,1011.35,2.26,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863681
76,4,2025-05-07T08:05:05.863711,22.63,84.28,1.87,1015.69,0.91,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863740
77,9,2025-04-17T08:05:05.863771,19.94,45.18,3.85,1011.85,5.23,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863799
78,2,2024-11-23T08:05:05.863832,17.49,66.09,3.01,1011.77,2.68,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863860
79,6,2024-11-26T08:05:05.863891,30.19,59.53,1.63,1009.64,1.91,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863920
80,17,2025-08-13T08:05:05.863951,36.38,45.56,9.85,1006.3,3.73,Synthetic Data - Grupo 7,2025-11-04T08:05:05.863980
81,13,2025-04-04T08:05:05.864011,31.75,65.06,2.15,1024.28,2.06,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864042
82,16,2025-10-17T08:05:05.864074,31.94,30.11,2.91,1019.23,0.33,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864103
83,1,2025-02-14T08:05:05.864134,17.96,58.33,5.16,1011.19,3.16,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864162
84,18,2024-11-21T08:05:05.864193,31.11,37.39,1.46,1013.13,0.86,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864222
85,15,2025-03-21T08:05:05.864253,27.5,54.2,1.36,1011.8,2.46,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864281
86,14,2025-05-24T08:05:05.864312,23.62,54.14,1.96,1014.15,1.81,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864341
87,19,2025-07-16T08:05:05.864372,26.63,51.23,2.74,1006.79,1.64,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864401
88,12,2025-10-16T08:05:05.864431,18.6,96.32,4.02,1004.23,2.12,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864460
89,12,2025-01-29T08:05:05.864494,25.83,55.36,21.12,1006.33,3.03,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864523
90,17,2025-10-22T08:05:05.864554,29.35,85.86,2.58,1016.09,1.1,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864582
91,13,2025-07-30T08:05:05.864613,16.85,78.28,4.04,1018.15,4.71,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864642
92,10,2024-11-28T08:05:05.864673,26.28,84.74,4.59,1007.98,4.83,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864702
93,14,2025-09-02T08:05:05.864733,26.86,68.22,1.02,1013.74,2.79,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864761
94,11,2025-01-13T08:05:05.864797,29.12,68.13,6.39,1015.71,3.69,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864837
95,5,2024-12-28T08:05:05.864870,28.04,47.21,0.26,1025.8,3.09,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864899
96,2,2025-08-24T08:05:05.864930,25.9,64.98,3.42,1009.87,10.54,Synthetic Data - Grupo 7,2025-11-04T08:05:05.864959
97,3,2025-03-21T08:05:05.864990,29.93,61.08,16.36,1016.32,6.68,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865018
98,12,2024-12-22T08:05:05.865049,31.42,80.34,6.44,1013.2,3.36,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865078
99,12,2025-06-15T08:05:05.865109,23.58,71.83,5.54,1013.52,2.14,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865138
100,7,2025-02-08T08:05:05.865169,26.79,61.19,1.07,1012.02,1.41,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865197
101,20,2025-07-25T08:05:05.865228,25.48,63.07,1.31,1007.79,7.84,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865257
102,12,2025-09-27T08:05:05.865288,27.06,41.05,7.82,1018.16,0.78,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865318
103,10,2025-07-20T08:05:05.865353,25.41,85.98,13.99,1019.12,1.86,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865382
104,12,2025-05-04T08:05:05.865413,16.97,78.52,2.54,1011.67,1.9,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865442
105,1,2025-05-12T08:05:05.865472,23.5,57.93,1.69,1007.98,1.72,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865501
106,1,2025-08-24T08:05:05.865532,23.77,56.75,0.66,1015.82,4.0,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865561
107,2,2025-06-05T08:05:05.865592,29.64,68.54,2.57,1013.27,2.25,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865620
108,14,2024-12-10T08:05:05.865651,27.99,68.08,0.19,1010.49,4.85,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865680
109,9,2025-07-29T08:05:05.865714,30.97,79.47,1.51,1025.27,13.08,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865744
110,9,2025-08-29T08:05:05.865776,21.67,57.4,10.5,1013.82,1.99,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865805
111,2,2024-12-08T08:05:05.865836,23.06,68.96,13.41,1012.06,1.5,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865865
112,6,2024-12-12T08:05:05.865896,29.87,66.47,3.8,1013.51,6.27,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865924
113,8,2024-11-16T08:05:05.865955,25.18,86.56,6.62,1013.66,7.06,Synthetic Data - Grupo 7,2025-11-04T08:05:05.865984
114,16,2025-05-20T08:05:05.866015,25.32,52.47,13.3,1009.29,4.22,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866043
115,5,2025-03-15T08:05:05.866074,21.85,69.38,10.56,1015.78,3.96,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866102
116,2,2025-04-13T08:05:05.866133,24.24,57.84,1.07,1017.31,2.73,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866161
117,8,2025-03-27T08:05:05.866191,22.03,66.68,1.67,1013.95,3.21,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866220
118,15,2025-03-28T08:05:05.866250,23.35,81.56,0.95,1016.38,4.77,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866279
119,1,2025-10-14T08:05:05.866312,21.98,62.8,10.26,1013.64,2.09,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866341
120,7,2025-10-07T08:05:05.866372,26.89,93.48,5.75,1012.67,2.39,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866401
121,13,2025-09-27T08:05:05.866432,31.49,71.62,1.77,1015.32,5.06,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866463
122,11,2025-10-09T08:05:05.866493,15.77,61.5,1.93,1017.71,6.08,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866522
123,17,2025-01-28T08:05:05.866553,27.51,95.81,3.19,1006.92,3.75,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866582
124,8,2025-08-18T08:05:05.866615,33.13,32.78,0.09,1009.75,6.39,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866646
125,3,2025-09-20T08:05:05.866677,33.19,92.52,1.42,1005.57,4.22,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866706
126,2,2024-11-26T08:05:05.866736,26.48,69.39,0.81,1022.81,2.43,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866765
127,15,2025-08-02T08:05:05.866797,29.51,89.12,7.07,1017.7,6.03,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866825
128,12,2025-09-20T08:05:05.866859,24.98,52.62,4.81,1015.62,10.37,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866888
129,1,2025-11-03T08:05:05.866919,30.12,71.37,0.43,1010.64,6.95,Synthetic Data - Grupo 7,2025-11-04T08:05:05.866948
130,6,2024-11-11T08:05:05.866980,28.16,55.32,8.61,1013.51,2.67,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867009
131,3,2025-07-05T08:05:05.867040,25.3,60.3,6.17,1014.97,5.42,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867068
132,15,2025-02-27T08:05:05.867099,35.58,66.92,4.03,1019.76,4.68,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867127
133,9,2025-05-01T08:05:05.867158,23.15,73.07,0.31,1009.74,2.23,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867187
134,19,2025-09-11T08:05:05.867217,33.36,66.94,10.27,1010.19,3.13,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867246
135,6,2025-04-08T08:05:05.867276,25.19,71.8,1.11,1010.49,3.91,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867305
136,1,2024-12-08T08:05:05.867336,30.66,65.88,4.95,1017.37,5.74,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867365
137,18,2025-05-12T08:05:05.867395,37.97,76.18,0.15,1020.84,0.73,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867424
138,4,2025-02-16T08:05:05.867454,20.56,49.55,2.42,1019.23,3.02,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867483
139,8,2025-07-28T08:05:05.867514,26.62,65.63,3.39,1015.72,2.47,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867542
140,7,2025-08-13T08:05:05.867573,19.22,74.79,2.48,1006.53,7.32,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867602
141,4,2025-01-08T08:05:05.867633,21.17,58.6,10.76,1003.41,1.91,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867661
142,12,2024-11-20T08:05:05.867692,24.18,52.82,4.43,1006.52,0.75,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867721
143,15,2025-04-15T08:05:05.867751,31.07,68.66,8.19,1018.15,3.99,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867780
144,20,2024-12-06T08:05:05.867811,25.24,59.69,13.79,1016.66,3.13,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867840
145,17,2025-05-10T08:05:05.867874,29.58,75.2,3.03,1002.5,18.13,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867906
146,20,2025-06-07T08:05:05.867938,20.31,79.66,5.6,1009.88,11.12,Synthetic Data - Grupo 7,2025-11-04T08:05:05.867967
147,15,2025-01-19T08:05:05.867997,24.49,69.6,1.4,1013.92,3.78,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868026
148,8,2024-11-25T08:05:05.868060,30.53,87.81,1.21,1007.55,9.57,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868090
149,2,2025-04-27T08:05:05.868120,30.03,66.21,7.63,1021.07,4.65,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868149
150,6,2025-06-26T08:05:05.868188,30.23,78.55,7.18,1011.51,8.3,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868217
151,7,2025-08-08T08:05:05.868247,30.55,48.07,4.71,1002.9,6.94,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868276
152,1,2025-01-04T08:05:05.868307,14.24,96.52,0.07,1007.06,4.21,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868336
153,2,2025-02-13T08:05:05.868366,29.91,65.13,3.66,1010.73,3.28,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868395
154,12,2025-06-25T08:05:05.868426,32.23,42.64,3.81,1019.92,5.01,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868455
155,18,2024-11-06T08:05:05.868485,28.79,74.22,1.4,1012.06,4.97,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868514
156,4,2025-09-14T08:05:05.868544,27.61,73.1,3.8,1008.86,3.77,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868573
157,2,2025-08-20T08:05:05.868604,20.09,66.63,1.0,1008.15,4.97,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868633
158,7,2024-12-28T08:05:05.868663,22.17,77.92,12.49,1008.89,2.96,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868693
159,12,2025-05-16T08:05:05.868723,27.36,72.09,4.6,1013.24,3.44,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868752
160,9,2025-02-07T08:05:05.868782,17.99,96.24,9.16,1011.62,5.67,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868812
161,5,2025-08-29T08:05:05.868843,29.01,61.59,2.76,1009.63,4.11,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868872
162,1,2025-03-08T08:05:05.868902,22.76,61.21,10.17,1025.34,0.45,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868931
163,5,2025-06-15T08:05:05.868961,21.5,60.36,5.08,1016.67,0.92,Synthetic Data - Grupo 7,2025-11-04T08:05:05.868990
164,2,2024-12-20T08:05:05.869020,27.07,58.42,2.59,1021.39,2.1,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869048
165,7,2025-01-29T08:05:05.869079,27.84,94.43,1.6,1007.5,1.81,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869108
166,4,2025-02-09T08:05:05.869138,21.2,70.5,8.06,1014.17,0.71,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869169
167,18,2025-08-30T08:05:05.869204,15.03,75.61,2.02,1016.47,11.31,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869233
168,20,2025-02-14T08:05:05.869264,20.88,72.42,16.31,1019.56,5.47,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869292
169,10,2025-05-31T08:05:05.869323,32.92,65.4,2.14,1018.46,5.17,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869351
170,13,2025-01-30T08:05:05.869385,19.54,65.25,24.45,1013.36,5.78,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869414
171,20,2025-03-19T08:05:05.869445,26.49,85.03,3.53,1011.55,2.39,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869474
172,9,2024-11-29T08:05:05.869504,18.9,59.22,3.56,1010.25,5.9,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869533
173,18,2024-12-29T08:05:05.869564,27.25,62.04,4.27,1003.03,7.57,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869593
174,17,2025-09-24T08:05:05.869626,35.96,80.21,5.61,1021.87,4.05,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869654
175,7,2025-10-22T08:05:05.869685,24.13,58.66,0.95,1007.82,8.0,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869714
176,10,2025-10-11T08:05:05.869745,21.39,100.0,1.88,1007.88,4.17,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869773
177,14,2025-10-11T08:05:05.869804,21.0,75.27,3.25,1005.09,3.43,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869832
178,12,2025-01-21T08:05:05.869863,26.21,55.46,13.78,1011.13,5.25,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869891
179,11,2025-02-24T08:05:05.869922,16.72,88.85,2.44,1006.34,4.1,Synthetic Data - Grupo 7,2025-11-04T08:05:05.869950
180,11,2025-05-11T08:05:05.869981,25.74,64.94,20.58,1010.18,2.38,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870010
181,14,2025-02-15T08:05:05.870040,23.06,72.56,3.56,1005.33,6.29,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870069
182,6,2025-03-19T08:05:05.870099,29.39,80.1,2.59,1006.64,8.15,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870138
183,14,2025-03-21T08:05:05.870172,27.09,68.47,1.43,1011.84,1.3,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870202
184,10,2024-12-26T08:05:05.870244,27.29,52.1,1.95,1015.08,6.96,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870275
185,5,2025-05-16T08:05:05.870307,24.39,63.47,1.55,1012.95,12.97,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870335
186,4,2025-10-02T08:05:05.870366,30.84,57.06,3.23,1006.14,0.66,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870395
187,10,2025-07-15T08:05:05.870430,30.71,53.19,2.88,1016.39,2.23,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870459
188,8,2025-02-01T08:05:05.870493,24.91,89.68,2.44,1005.45,2.67,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870522
189,13,2025-08-28T08:05:05.870553,25.44,95.83,5.7,1011.17,3.83,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870582
190,17,2025-06-25T08:05:05.870613,12.83,72.79,3.1,1007.62,0.53,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870641
191,8,2024-12-20T08:05:05.870672,21.01,67.83,3.61,1013.87,4.01,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870701
192,9,2025-09-17T08:05:05.870731,20.69,56.79,0.36,1012.86,5.05,Synthetic Data - Grupo 7,2025-11-04T08:05:05.870760
